USW00014739,20130131,TMIN,0,,,X,2400
USW00014739,20130131,PRCP,79,,,X,2400
USW00014739,20130131,SNOW,0,,,X,
USW00014739,20130131,AWND,120,,,X,
USW00014739,20130131,WDF2,180,,,X,
USW00014739,20130131,WDF5,180,,,X,
USW00014739,20130131,WSF2,215,,,X,
USW00014739,20130131,WSF5,268,,,X,
USW00014739,20130131,WT01,1,,,W,
USW00014739,20130131,WT13,1,,,X,
USW00014739,20130131,WT16,1,,,X,
USW00014739,20130201,TMAX,11,,,X,2400
USW00014739,20130201,TMIN,-50,,,X,2400
USW00014739,20130201,PRCP,0,,,X,2400
USW00014739,20130201,SNOW,0,,,X,
USW00014739,20130201,AWND,76,,,X,
USW00014739,20130201,WDF2,260,,,X,
USW00014739,20130201,WDF5,290,,,X,
USW00014739,20130201,WSF2,125,,,X,
USW00014739,20130201,WSF5,148,,,X,
USW00014739,20130202,TMAX,-11,,,X,2400
USW00014739,20130202,TMIN,-72,,,X,2400
USW00014739,20130202,PRCP,0,,,X,2400
USW00014739,20130202,SNOW,0,,,X,
USW00014739,20130202,AWND,57,,,X,
USW00014739,20130202,WDF2,280,,,X,
USW00014739,20130202,WDF5,260,,,X,
USW00014739,20130202,WSF2,98,,,X,
USW00014739,20130202,WSF5,130,,,X,
USW00014739,20130203,TMAX,-28,,,X,2400
USW00014739,20130203,TMIN,-50,,,X,2400
USW00014739,20130203,PRCP,8,,,X,2400
USW00014739,20130203,SNOW,15,,,X,
USW00014739,20130203,AWND,36,,,X,
USW00014739,20130203,WDF2,240,,,X,
USW00014739,20130203,WDF5,230,,,X,
USW00014739,20130203,WSF2,76,,,X,
USW00014739,20130203,WSF5,98,,,X,
USW00014739,20130203,WT08,1,,,W,
USW00014739,20130203,WT18,1,,,X,
USW00014739,20130204,TMAX,-6,,,X,2400
USW00014739,20130204,TMIN,-56,,,X,2400
USW00014739,20130204,PRCP,0,,,X,2400
USW00014739,20130204,SNOW,0,,,X,
USW00014739,20130204,AWND,75,,,X,
USW00014739,20130204,WDF2,260,,,X,
USW00014739,20130204,WDF5,260,,,X,
USW00014739,20130204,WSF2,125,,,X,
USW00014739,20130204,WSF5,170,,,X,
USW00014739,20130205,TMAX,-28,,,X,2400
USW00014739,20130205,TMIN,-56,,,X,2400
USW00014739,20130205,PRCP,8,,,X,2400
USW00014739,20130205,SNOW,15,,,X,
USW00014739,20130205,AWND,31,,,X,
USW00014739,20130205,WDF2,280,,,X,
USW00014739,20130205,WDF5,290,,,X,
USW00014739,20130205,WSF2,80,,,X,
USW00014739,20130205,WSF5,107,,,X,
USW00014739,20130205,WT01,1,,,W,
USW00014739,20130205,WT13,1,,,X,
USW00014739,20130205,WT18,1,,,X,
USW00014739,20130206,TMAX,44,,,X,2400
USW00014739,20130206,TMIN,-33,,,X,2400
USW00014739,20130206,PRCP,13,,,X,2400
USW00014739,20130206,SNOW,18,,,X,
USW00014739,20130206,AWND,43,,,X,
USW00014739,20130206,WDF2,280,,,X,
USW00014739,20130206,WDF5,280,,,X,
USW00014739,20130206,WSF2,98,,,X,
USW00014739,20130206,WSF5,134,,,X,
USW00014739,20130206,WT01,1,,,W,
USW00014739,20130206,WT13,1,,,X,
USW00014739,20130206,WT18,1,,,X,
USW00014739,20130207,TMAX,-11,,,X,2400
USW00014739,20130207,TMIN,-78,,,X,2400
USW00014739,20130207,PRCP,0,,,X,2400
USW00014739,20130207,SNOW,0,,,X,
USW00014739,20130207,AWND,41,,,X,
USW00014739,20130207,WDF2,320,,,X,
USW00014739,20130207,WDF5,330,,,X,
USW00014739,20130207,WSF2,80,,,X,
USW00014739,20130207,WSF5,107,,,X,
USW00014739,20130208,TMAX,11,,,X,2400
USW00014739,20130208,TMIN,-67,,,X,2400
USW00014739,20130208,PRCP,216,,,X,2400
USW00014739,20130208,SNOW,257,,,X,
USW00014739,20130208,AWND,115,,,X,
USW00014739,20130208,WDF2,40,,,X,
USW00014739,20130208,WDF5,340,,,Z,
USW00014739,20130208,WSF2,179,,,X,
USW00014739,20130208,WSF5,340,,,Z,
USW00014739,20130208,WT01,1,,,X,
USW00014739,20130208,WT02,1,,,X,
USW00014739,20130208,WT18,1,,,X,
USW00014739,20130208,WT22,1,,,X,
USW00014739,20130209,TMAX,-67,,,X,2400
USW00014739,20130209,TMIN,-94,,,X,2400
USW00014739,20130209,PRCP,254,,,X,2400
USW00014739,20130209,SNOW,376,,,X,
USW00014739,20130209,AWND,94,,,X,
USW00014739,20130209,WDF2,10,,,X,
USW00014739,20130209,WDF5,70,,,Z,
USW00014739,20130209,WSF2,161,,,X,
USW00014739,20130209,WSF5,308,,,Z,
USW00014739,20130209,WT02,1,,,X,
USW00014739,20130209,WT13,1,,,X,
USW00014739,20130209,WT18,1,,,X,
USW00014739,20130209,WT22,1,,,X,
USW00014739,20130210,TMAX,22,,,X,2400
USW00014739,20130210,TMIN,-94,,,X,2400
USW00014739,20130210,PRCP,0,,,X,2400
USW00014739,20130210,SNOW,0,,,X,
USW00014739,20130210,AWND,38,,,X,
USW00014739,20130210,WDF2,320,,,X,
USW00014739,20130210,WDF5,310,,,X,
USW00014739,20130210,WSF2,94,,,X,
USW00014739,20130210,WSF5,134,,,X,
USW00014739,20130211,TMAX,72,,,X,2400
USW00014739,20130211,TMIN,-67,,,X,2400
USW00014739,20130211,PRCP,51,,,X,2400
USW00014739,20130211,SNOW,0,T,,X,
USW00014739,20130211,AWND,33,,,X,
USW00014739,20130211,WDF2,210,,,X,
USW00014739,20130211,WDF5,200,,,X,
USW00014739,20130211,WSF2,63,,,X,
USW00014739,20130211,WSF5,80,,,X,
USW00014739,20130211,WT01,1,,,X,
USW00014739,20130211,WT04,1,,,X,
USW00014739,20130211,WT14,1,,,X,
USW00014739,20130211,WT18,1,,,X,
USW00014739,20130212,TMAX,67,,,X,2400
USW00014739,20130212,TMIN,22,,,X,2400
USW00014739,20130212,PRCP,0,,,X,2400
USW00014739,20130212,SNOW,0,,,X,
USW00014739,20130212,AWND,68,,,X,
USW00014739,20130212,WDF2,290,,,X,
USW00014739,20130212,WDF5,280,,,X,
USW00014739,20130212,WSF2,125,,,X,
USW00014739,20130212,WSF5,161,,,X,
USW00014739,20130212,WT01,1,,,W,
USW00014739,20130212,WT13,1,,,X,
USW00014739,20130213,TMAX,56,,,X,2400
USW00014739,20130213,TMIN,-11,,,X,2400
USW00014739,20130213,PRCP,0,,,X,2400
USW00014739,20130213,SNOW,0,,,X,
USW00014739,20130213,AWND,32,,,X,
USW00014739,20130213,WDF2,270,,,X,
USW00014739,20130213,WDF5,270,,,X,
USW00014739,20130213,WSF2,72,,,X,
USW00014739,20130213,WSF5,98,,,X,
USW00014739,20130214,TMAX,56,,,X,2400
USW00014739,20130214,TMIN,0,,,X,2400
USW00014739,20130214,PRCP,0,T,,X,2400
USW00014739,20130214,SNOW,0,T,,X,
USW00014739,20130214,AWND,39,,,X,
USW00014739,20130214,WDF2,160,,,X,
USW00014739,20130214,WDF5,140,,,X,
USW00014739,20130214,WSF2,67,,,X,
USW00014739,20130214,WSF5,103,,,X,
USW00014739,20130214,WT18,1,,,X,
USW00014739,20130215,TMAX,83,,,X,2400
USW00014739,20130215,TMIN,-11,,,X,2400
USW00014739,20130215,PRCP,0,,,X,2400
USW00014739,20130215,SNOW,0,,,X,
USW00014739,20130215,AWND,45,,,X,
USW00014739,20130215,WDF2,210,,,X,
USW00014739,20130215,WDF5,210,,,X,
USW00014739,20130215,WSF2,94,,,X,
USW00014739,20130215,WSF5,112,,,X,
USW00014739,20130215,WT13,1,,,X,
USW00014739,20130216,TMAX,33,,,X,2400
USW00014739,20130216,TMIN,0,,,X,2400
USW00014739,20130216,PRCP,3,,,X,2400
USW00014739,20130216,SNOW,3,,,X,
USW00014739,20130216,AWND,38,,,X,
USW00014739,20130216,WDF2,350,,,X,
USW00014739,20130216,WDF5,320,,,X,
USW00014739,20130216,WSF2,72,,,X,
USW00014739,20130216,WSF5,94,,,X,
USW00014739,20130216,WT13,1,,,X,
USW00014739,20130216,WT18,1,,,X,
USW00014739,20130217,TMAX,0,,,X,2400
USW00014739,20130217,TMIN,-78,,,X,2400
USW00014739,20130217,PRCP,51,,,X,2400
USW00014739,20130217,SNOW,130,,,X,
USW00014739,20130217,AWND,96,,,X,
USW00014739,20130217,WDF2,300,,,X,
USW00014739,20130217,WDF5,290,,,X,
USW00014739,20130217,WSF2,179,,,X,
USW00014739,20130217,WSF5,241,,,X,
USW00014739,20130217,WT02,1,,,X,
USW00014739,20130217,WT09,1,,,X,
USW00014739,20130217,WT18,1,,,X,
USW00014739,20130217,WT22,1,,,X,
USW00014739,20130218,TMAX,6,,,X,2400
USW00014739,20130218,TMIN,-89,,,X,2400
USW00014739,20130218,PRCP,0,,,X,2400
USW00014739,20130218,SNOW,0,,,X,
